12, -30, 1001, 79, 1005, -6, -9, 1, -5, -1, 0
36, -49, 1001, 118, 1023, 12, -66, -18, -18, -103, -28
60, 13, 997, 68, 1015, -25, -266, -3, -10, -488, -44
84, 54, 1078, 16, 1116, 0, -321, 7, -26, -1277, -30
108, 219, 923, -226, 1020, -49, -190, 40, -106, -1947, 24
132, 243, 991, -66, 1171, -67, -407, -59, -233, -2645, -19
156, -105, 958, 172, 1097, -53, -324, -101, -346, -3628, -207
180, -65, 966, 106, 1028, 88, -363, -53, -328, -4399, -407
204, 181, 992, -48, 1051, -24, -273, 6, -289, -5308, -429
228, 9, 1002, 64, 1162, -89, -272, -82, -380, -5911, -537
252, -1, 903, 313, 1171, -10, -220, -50, -499, -6522, -730
276, 83, 950, 285, 1075, 32, -125, -79, -443, -6945, -859
300, -36, 916, 128, 1046, 3, -290, -42, -464, -7503, -1028
324, 226, 1023, 186, 1117, -48, -215, -57, -466, -8081, -1096
348, 27, 958, 238, 1037, -8, -285, -75, -560, -8778, -1333
372, -4, 1002, 144, 1046, -38, -304, -92, -569, -9503, -1492
396, -119, 948, 250, 1053, 9, -197, -45, -625, -10130, -1719
420, 238, 934, 293, 1067, -3, -55, 10, -624, -10531, -1729
444, 58, 945, 333, 1019, 19, 91, 36, -608, -10356, -1669
486, 194, 966, 366, 1060, -18, 4, -9, -627, -10707, -1694
