12, -82, 1006, 77, 1018, 5, 3, -9, 13, 11, -20
36, -506, 1019, 166, 1186, 2, 40, 12, 15, 39, -16
60, -232, 915, 363, 1080, 1, 130, 9, 24, 283, 5
84, -105, 1033, 661, 1264, -26, 166, 22, -3, 668, 32
108, 41, 967, 562, 1196, 13, 188, -9, -25, 1105, 85
132, 238, 833, 563, 1073, -10, 174, 38, -31, 1568, 138
156, -82, 966, 612, 1184, 4, 174, 27, -31, 2006, 189
180, 459, 813, 488, 1175, -18, 122, 19, -50, 2412, 265
204, -47, 1099, 193, 1260, 4, 100, -24, -62, 2638, 255
228, -271, 904, 524, 1242, -9, 176, 30, -59, 3004, 283
252, -274, 921, 421, 1100, -25, 160, 39, -85, 3446, 309
276, 55, 909, 561, 1155, 10, 137, 20, -129, 3816, 422
300, 64, 1009, 396, 1112, -8, 112, 38, -130, 4132, 505
324, -65, 911, 311, 987, 13, 112, 7, -101, 4399, 563
348, -93, 950, 392, 1070, 12, 130, 3, -92, 4699, 574
372, -175, 943, 476, 1110, -23, 167, 12, -92, 5081, 588
396, -199, 842, 595, 1097, -16, 187, 43, -145, 5536, 678
420, -133, 1006, 703, 1262, -17, 146, 39, -180, 5964, 766
444, 28, 980, 559, 1166, 56, 105, 28, -132, 6264, 878
486, 51, 816, 14, 842, -11, 109, -22, -58, 6801, 888
