12, -38, 1008, 85, 1017, 7, 1, 2, 16, -1, 2
36, -400, 1070, 115, 1158, 1, 36, 5, 19, 36, 9
60, -435, 971, 249, 1102, 26, 124, 9, 55, 240, 33
84, -437, 877, 481, 1115, -14, 186, 4, 74, 643, 41
108, -548, 937, 1269, 1693, -17, 240, 29, 31, 1191, 80
132, -243, 948, 1185, 1571, 2, 213, 27, 25, 1775, 159
156, -490, 895, 1034, 1493, 14, 227, 35, 49, 2330, 241
180, -244, 939, 1188, 1555, 28, 235, 25, 91, 2908, 329
204, -86, 974, 907, 1407, 22, 222, 6, 164, 3491, 365
228, -324, 966, 1031, 1488, 16, 217, 27, 198, 4039, 409
252, -37, 948, 875, 1314, 34, 216, 4, 261, 4585, 443
276, -421, 925, 899, 1399, -2, 205, -10, 302, 5117, 421
300, -185, 967, 830, 1326, -12, 199, 32, 279, 5647, 456
324, -305, 951, 865, 1342, 23, 206, 22, 301, 6133, 530
348, -26, 979, 753, 1299, 12, 186, 31, 349, 6654, 596
372, 348, 910, 462, 1120, 9, 114, -5, 387, 7059, 625
396, 221, 1004, 156, 1056, 3, 18, -5, 397, 7187, 618
420, 76, 997, 115, 1011, -7, -5, 0, 382, 7203, 610
444, 18, 1007, 124, 1017, -2, -6, -2, 373, 7185, 609
486, 48, 1037, 110, 1045, -2, -2, 1, 387, 7478, 637
